217.60.5.72:2053#FR [158.88ms 7.7Mbps]
185.179.82.201:443#BY [159.16ms 3.64Mbps]
138.124.90.126:443#GB [159.67ms 0.7Mbps]
31.59.120.180:8443#FR [159.91ms 5.89Mbps]
132.243.203.222:8443#AT [160.3ms 2.13Mbps]
80.78.24.239:2053#DK [162.46ms 0.19Mbps]
185.22.154.148:8443#RU [162.85ms 8.92Mbps]
80.78.30.157:443#DK [163.37ms 8.24Mbps]
91.90.193.24:443#CH [163.46ms 7.25Mbps]
176.124.221.39:443#GB [163.89ms 7.96Mbps]
195.58.48.215:8443#RU [164.4ms 7.22Mbps]
80.78.24.248:2053#DK [165.03ms 3.78Mbps]
77.73.131.50:2053#GB [165.06ms 7.92Mbps]
20.219.46.208:8443#IN [165.64ms 0.66Mbps]
78.129.253.133:443#GB [165.79ms 0.89Mbps]
132.243.205.57:8443#IT [165.8ms 9.2Mbps]
89.208.104.201:443#GB [166.07ms 6.09Mbps]
132.243.203.221:8443#AT [166.15ms 8.42Mbps]
77.110.97.237:443#GB [166.48ms 9.82Mbps]
89.28.236.192:8443#DK [166.92ms 6.79Mbps]
193.181.211.52:2053#DK [167.32ms 8.82Mbps]
132.243.203.204:8443#AT [167.34ms 9.25Mbps]
45.136.198.114:8443#BG [167.63ms 5.05Mbps]
132.243.203.247:8443#AT [167.67ms 9.08Mbps]
23.173.104.221:2053#CA [167.72ms 3.7Mbps]
83.147.254.71:443#SE [167.95ms 4.65Mbps]
91.186.218.221:443#SE [168.14ms 5.81Mbps]
85.192.31.30:443#FI [168.45ms 5.53Mbps]
5.182.38.111:443#HU [168.51ms 0.12Mbps]
92.118.233.106:443#FI [168.92ms 8.79Mbps]
79.137.248.25:443#FI [169.21ms 6.12Mbps]
38.180.225.181:443#HU [169.84ms 7.3Mbps]
45.67.34.89:443#RO [170.51ms 7.85Mbps]
31.58.171.111:2053#FI [170.66ms 0.27Mbps]
91.192.102.155:8443#CH [171.32ms 7.42Mbps]
45.67.34.89:8443#RO [171.35ms 6.79Mbps]
138.124.99.132:443#SE [171.66ms 7.5Mbps]
65.21.122.159:443#FI [172.05ms 8.95Mbps]
132.243.205.81:8443#IT [172.35ms 7.43Mbps]
83.147.216.243:443#FI [172.45ms 6.34Mbps]
193.180.212.103:443#DK [172.69ms 10.48Mbps]
94.131.3.152:443#CH [173.18ms 1.3Mbps]
185.212.149.7:443#FI [173.31ms 5.8Mbps]
89.22.236.205:443#SE [173.44ms 7.46Mbps]
91.184.240.196:443#SE [173.59ms 6.27Mbps]
78.128.99.225:443#BG [173.6ms 5.92Mbps]
83.147.216.34:443#FI [173.99ms 6.54Mbps]
4.244.106.243:443#QA [174.04ms 0.41Mbps]
195.86.215.26:443#PH [174.34ms 5.58Mbps]
83.228.207.179:443#CH [175.43ms 7.75Mbps]
37.252.8.202:443#SE [175.54ms 6.4Mbps]
176.105.255.38:443#PL [175.58ms 8.09Mbps]
83.147.192.158:443#FI [175.64ms 5.85Mbps]
31.57.26.194:8443#FI [175.88ms 0.67Mbps]
185.203.119.26:2053#BG [176.09ms 6.32Mbps]
95.156.204.82:8443#PL [176.49ms 8.37Mbps]
45.86.228.104:443#AE [177.24ms 0.02Mbps]
77.221.143.186:2053#SE [177.29ms 5.66Mbps]
45.142.215.61:443#LV [177.36ms 6.96Mbps]
45.15.160.220:443#RS [177.93ms 5.86Mbps]
38.54.8.167:443#AE [178.18ms 7.49Mbps]
138.124.59.252:443#SE [178.29ms 3.81Mbps]
185.130.45.38:443#SE [179.02ms 7.01Mbps]
45.83.20.29:443#BE [179.21ms 9.37Mbps]
213.134.31.130:8443#PL [179.54ms 7.84Mbps]
94.131.117.210:443#ES [179.63ms 2.23Mbps]
185.86.77.181:8443#UA [179.92ms 4.8Mbps]
130.49.178.164:8443#SE [179.92ms 0.24Mbps]
95.164.62.196:443#BE [180.6ms 0.3Mbps]
93.85.88.60:2053#BY [180.66ms 2.96Mbps]
23.173.104.201:2053#CA [180.94ms 3.32Mbps]
44.32.224.198:2053#CA [180.98ms 9.43Mbps]
44.32.224.198:443#CA [181.57ms 3.63Mbps]
45.133.216.88:8443#LV [181.69ms 8.85Mbps]
31.58.77.75:443#LV [182.78ms 0.6Mbps]
44.32.224.206:2053#CA [183.83ms 9.3Mbps]
78.17.36.189:8443#PL [184.2ms 6.21Mbps]
45.8.147.11:443#BA [184.39ms 10.89Mbps]
195.123.212.215:443#LV [184.79ms 6.98Mbps]
83.97.77.63:2053#KZ [184.97ms 4.52Mbps]
94.131.3.151:443#CH [185.01ms 8.2Mbps]
195.123.212.215:2053#LV [185.15ms 0.22Mbps]
91.217.10.241:443#KZ [185.22ms 7.43Mbps]
83.228.217.38:8443#CH [185.81ms 7.79Mbps]
45.59.122.134:8443#CH [187.23ms 6.75Mbps]
185.253.7.116:443#PL [187.6ms 7.6Mbps]
45.59.114.151:443#CH [187.61ms 0.0Mbps]
193.68.89.220:443#LV [188.11ms 6.81Mbps]
38.180.18.43:8443#BE [188.27ms 2.04Mbps]
194.247.182.120:8443#IS [188.38ms 0.51Mbps]
45.82.255.2:443#PL [188.73ms 3.78Mbps]
93.123.39.161:443#EE [188.76ms 6.11Mbps]
80.96.109.157:8443#MD [189.3ms 6.46Mbps]
31.58.77.194:2053#LV [189.39ms 7.3Mbps]
5.45.114.210:8443#EE [189.48ms 7.95Mbps]
45.12.28.108:443#EE [189.93ms 1.4Mbps]
192.36.41.238:2096#LV [190.09ms 6.9Mbps]
202.27.229.7:443#AU [190.21ms 6.67Mbps]
31.58.77.194:8443#LV [190.29ms 7.67Mbps]
207.211.157.214:443#AU [190.63ms 1.83Mbps]
159.253.22.88:8443#EE [190.66ms 3.85Mbps]
159.253.22.166:443#EE [191.1ms 6.74Mbps]
70.34.255.171:443#PL [191.26ms 0.0Mbps]
51.38.131.161:8443#PL [191.87ms 7.14Mbps]
2.27.57.223:443#PL [192.02ms 8.08Mbps]
2.59.163.33:443#PL [192.26ms 7.96Mbps]
103.231.72.6:2053#LT [192.75ms 0.31Mbps]
91.192.102.112:443#CH [193.23ms 8.1Mbps]
44.32.224.206:443#CA [193.5ms 8.6Mbps]
45.129.141.188:443#SK [193.94ms 9.95Mbps]
85.90.196.11:443#RO [194.6ms 7.63Mbps]
45.136.57.82:8443#KZ [194.62ms 6.88Mbps]
152.89.28.215:443#BG [195.35ms 6.81Mbps]
150.241.121.190:443#CZ [196.55ms 0.0Mbps]
79.117.46.26:8443#ES [196.75ms 7.06Mbps]
185.237.185.110:2053#LT [196.88ms 4.08Mbps]
46.36.219.229:8443#EE [196.92ms 6.15Mbps]
31.56.117.64:443#LV [197.15ms 9.72Mbps]
93.93.119.91:443#ES [197.24ms 7.1Mbps]
46.29.234.91:8443#LT [197.29ms 5.69Mbps]
159.203.35.153:443#CA [198.01ms 3.33Mbps]
5.101.112.43:443#EE [200.81ms 0.3Mbps]
185.4.72.110:8443#EE [200.98ms 5.91Mbps]
91.218.212.223:443#UA [201.4ms 1.99Mbps]
45.153.48.157:443#DK [202.0ms 6.93Mbps]
185.253.46.31:443#CZ [202.03ms 7.7Mbps]
91.219.236.202:8443#HU [202.15ms 3.11Mbps]
130.94.1.150:443#TR [202.72ms 6.0Mbps]
94.131.13.110:443#LT [202.97ms 3.59Mbps]
45.12.136.22:443#LT [203.3ms 1.83Mbps]
194.4.48.172:443#ES [203.9ms 8.43Mbps]
193.181.210.149:443#DK [203.92ms 0.0Mbps]
194.71.227.213:443#BE [204.11ms 0.29Mbps]
45.133.17.106:443#CA [204.62ms 5.01Mbps]
78.40.108.84:443#KZ [204.92ms 6.51Mbps]
5.101.115.68:443#EE [205.29ms 1.62Mbps]
194.156.103.36:2053#AM [205.36ms 7.89Mbps]
45.154.24.170:443#TH [205.7ms 9.7Mbps]
185.235.243.172:443#TR [206.63ms 0.6Mbps]
46.36.221.147:8443#EE [206.86ms 5.55Mbps]
85.120.229.131:443#RO [206.95ms 6.9Mbps]
216.238.82.140:8443#MX [207.38ms 7.09Mbps]
23.173.104.231:2053#CA [207.38ms 4.27Mbps]
45.83.141.93:443#MK [208.37ms 2.87Mbps]
91.147.92.192:443#KZ [208.58ms 7.64Mbps]
95.164.21.123:443#BG [208.85ms 8.11Mbps]
91.250.248.151:443#GR [209.52ms 0.39Mbps]
193.180.208.58:443#DK [210.05ms 7.52Mbps]
216.238.79.83:8443#MX [210.68ms 6.34Mbps]
158.247.246.18:443#KR [210.73ms 7.47Mbps]
